OCDS-87SD3T-SEFIN-AD-SF-DRM-001-2015 ,  429000 ,  429000
OCDS-87SD3T-SEFIN-AD-SF-DRM-002-2015 ,  241430.8 ,  236083.2
OCDS-87SD3T-SEFIN-AD-SF-DRM-005-2015 ,  418383 ,  418383
OCDS-87SD3T-SEFIN-DRM-A-014-2015 ,  475557.66 ,  552598.49
OCDS-87SD3T-SEFIN-DRM-A-015-2015 ,  388455.97 ,  451386.23
OCDS-87SD3T-SEFIN-DRM-AD-006-2015 ,  754000 ,  754000
OCDS-87SD3T-SEFIN-DRM-AD-011-2015 ,  1270340.49 ,  8386799.99
OCDS-87SD3T-SEFIN-DRM-AD-012-2015 ,  93842.4 ,  93842.4
OCDS-87SD3T-SEFIN-DRM-AD-013-2015 ,  148656.37 ,  148656.37
OCDS-87SD3T-SEFIN-DRM-AD-017-2015 ,  71343.63 ,  71343.63
OCDS-87SD3T-SEFIN-DRM-AD-018-2015 ,  424999.87 ,  424999.87
OCDS-87SD3T-SEFIN-DRM-AD-CC-008-2015 ,  1777723.76 ,  1777723.76
OCDS-87SD3T-SEFIN-DRM-AD-CC-009-2015 ,  401279.62 ,  401279.62
OCDS-87SD3T-SEFIN-DRM-LPN-016-2015 ,  200000 ,  9742882.48
